ID  Maxim Whom
1 "Above all, make this your business: learn how to feel joy."	Seneca 
2 Allow not sleep to close your wearied eyes until you have reckoned up each daytime deed.	Epictetus
3 "Although you are not yet a Socrates, you should live as someone who at least wants to be a Socrates."	Epictetus
4 Anger and frustration hurt us more than the things we are annoyed about hurt us.	Marcus Aurelius
5 "At daybreak, when reluctant to rise, have this thought ready in your mind: ‘I am getting up to do a human being’s work.'"	Marcus Aurelius
6 "Carry out each act as if it were the last of your life, freed from all randomness and passionate deviation from the rule of reason and from pretence and self-love and dissatisfaction with what has been allotted to you."	Marcus Aurelius
7 "Come to your journey’s end with a good grace, just as an olive falls when it is fully ripe, praising the earth that bore it and grateful to the tree that gave it growth."	Marcus Aurelius
8 Does the captain of a ship manage it better by not attending?	Epictetus
9 "Don’t wait for Plato’s Republic! Rather, be content if one tiny thing makes some progress, and reflect on the fact that what results from this tiny thing is no tiny thing at all!"	Marcus Aurelius 
10  Every day I plead the case against myself as judge.	Seneca
11  "Every hour focus your mind attentively on the performance of the task in hand, with dignity, human sympathy, benevolence and freedom, and leave aside all other thoughts. You will achieve this, if you perform each action as if it were your last."	Marcus Aurelius
12  Fate permitting.	Marcus Aurelius
13  "For I am not eternity, but a man: a part of the whole, as an hour is of the day. I must come like an hour, and like an hour must pass away."	Epictectus
14  "For why should I be afraid of any of my mistakes, when I can say: beware of doing that again, and this time I pardon you."	Seneca
15  "From first to last review your acts and then reprove yourself for wretched [or cowardly] acts, but rejoice in those done well."	Epictetus
16  Happy the man who improves other people not merely when he is in their presence but even when he is in their thoughts.	Seneca
17  "He is a wise man who does not grieve for the things he has not, but rejoices for those which he has."	Epictectus
18  He who receives a benefit with gratitude repays the first installment on his debt.	Seneca
19  Here and now. 	Anon
20  How tiny a fragment of boundless and abysmal time has been appointed to each man! For in a moment it is lost in eternity.	Marcus Aurelius
21  "I am not eternal, but a human being; a part of the whole, as an hour is of the day. Like an hour I must come and, like an hour, pass away."	Epictetus
22  "If you wish to be loved, love. "	Seneca
23  "In general, therefore, if you want to do something make a habit of it; if you want not to do something, refrain from doing it, and accustom yourself to something else instead."	Epictetus
24  It is in times of security that the spirit should be preparing itself to deal with difficult times.	Seneca
25  "It is my good luck that, although this has happened to me, I can bear it without getting upset, neither crushed by the present nor afraid of the future."	Marcus Aurelius
26  It is not death that a man should fear. But he should fear never beginning to live.	Marcus Aurelius
27  It is possible for you to retreat into yourself whenever you please. 	Marcus Aurelius
28  It is within my power to derive benefit from every experience. 	Epictetus
29  It seemed so to him.	Epictetus
